(LID, 78249), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 289), (id, 309), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:887.2380981445312), (title, blanton's bourbon - Google Search), (visit_count, 2), (typed_count, 0), (last_visit_time, 13270190558849231), (hidden, 0)

(LID, 78250), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 290), (id, 310), (url, https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiOpJiTx9LxAhWHlbMKHXzmCtIYABAMGgJxbg&ae=2&ohost=www.google.com&cid=CAASEuRoonkghx-iDHuHGVKlABSUmQ&sig=AOD64_0rnYvWqYxRhkjHy0UTwz7Qrf1THw&ctype=5&q=&ved=2ahUKEwiYvo6Tx9LxAhWnGVkFHYeaCpwQwg96BAgBEDU&dct=1&adurl=), (title, BLANTON'S BOURBON SINGLE BARREL | www.modernliquors.com), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190522888890), (hidden, 0)

(LID, 78251), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 291), (id, 311), (url, https://www.modernliquors.com/product/blanton-s-bourbon-single-barrel/1543?gclid=EAIaIQobChMIjqSYk8fS8QIVh5WzCh185grSEAQYByABEgKZW_D_BwE), (title, BLANTON'S BOURBON SINGLE BARREL | www.modernliquors.com), (visit_count, 2), (typed_count, 0), (last_visit_time, 13270190524079866), (hidden, 0)

(LID, 78233), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 273), (id, 293), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:576.3809814453125), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190506489099), (hidden, 0)  

(LID, 78234), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 274), (id, 294), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:563.4285888671875), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190506858617), (hidden, 0)  

(LID, 78235), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 275), (id, 295), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:477.71429443359375), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190507158597), (hidden, 0)  

(LID, 78236), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 276), (id, 296), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:508.952392578125), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190507459655), (hidden, 0)  

(LID, 78237), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 277), (id, 297), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:493.71429443359375), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190507759447), (hidden, 0)  

(LID, 78238), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 278), (id, 298), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:739.047607421875), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190508059069), (hidden, 0)  

(LID, 78239), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 279), (id, 299), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:809.1428833007812), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190508359174), (hidden, 0)  

(LID, 78240), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 280), (id, 300), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:814.8571166992188), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190508666118), (hidden, 0)  

(LID, 78241), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 281), (id, 301), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:815.6190185546875), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190509428439), (hidden, 0)  

(LID, 78242), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 282), (id, 302), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:838.4761962890625), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190509728708), (hidden, 0)

(LID, 78223), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 263), (id, 283), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:159.23809814453125), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190498303732), (hidden, 0)  

(LID, 78224), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 264), (id, 284), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:708.1904907226562), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190498602361), (hidden, 0)  

(LID, 78225), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 265), (id, 285), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:18.285715103149414), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190498902300), (hidden, 0)  

(LID, 78226), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 266), (id, 286), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:555.047607421875), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190499505361), (hidden, 0)  

(LID, 78227), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 267), (id, 287), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:674.2857055664062), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190499805930), (hidden, 0)  

(LID, 78228), (PID, com.android.chrome), (DN, History), (DP, /Dump/data/data/com.android.chrome/app_chrome/Default/History), (TN, urls), (RL, 268), (id, 288), (url, https://www.google.com/search?q=blanton%27s+bourbon&oq=blanton&aqs=chrome.0.0i433j69i57j0i433j0i457j5.2597j0j9&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8#scso=_MHTmYJjmCKez5NoPh7Wq4Ak4:680.7619018554688), (title, blanton's bourbon - Google Search), (visit_count, 1), (typed_count, 0), (last_visit_time, 13270190500106219), (hidden, 0)  

